Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry,Type,Popularity,Capacity
Carbery Cottage Guest Lodge,http://www.carbery-cottage-guest-lodge.net,+353(0)2761368,-9.57533,51.617549,Cork,Durrus,Republic of Ireland,Self Catering,5,10
Macliam Lodge,http://www.macliamlodge.com,+353(0)238835195,-8.901094,51.621155,Cork,Clonakilty,Republic of Ireland,Self Catering,4,4
Durrus Rent an Irish Cottage,http://www.rentacottage.ie/self-catering/Cork/Durrus/Durrus_Holiday_Homes___3_Bed_(Type_B)-21.html,+353(0)61411109,-9.523073174,51.62163545,Cork,Bantry,Republic of Ireland,Self Catering,3,36
Emmet Hotel,https://www.emmethotel.com/,+353(0)238833394,-8.891233,51.622151,Cork,Clonakilty,Republic of Ireland,Hotel,5,127
Desert House Caravan and Camping Park,,+353(0)238833331,-8.87516,51.622385,Cork,Clonakilty,Republic of Ireland,Camping,1,147
Imperial Hotel,,+353(0)238834185,-8.885798345,51.6226071,Cork,Clonakilty,Republic of Ireland,Hotel,5,318
O'Donovan's Hotel,http://www.odonovanshotel.com,+353(0)238833250,-8.889939883,51.62303021,Cork,Clonakilty,Republic of Ireland,Hotel,2,314
The Clonakilty Hotel,http://www.theclonakilty.com,+353(0)238858866,-8.88541503,51.62315548,Cork,Clonakilty,Republic of Ireland,Hotel,3,325
Tudor Lodge,http://www.tudorlodgecork.com,+353(0)238833046,-8.889478,51.625522,Cork,Clonakilty,Republic of Ireland,Self Catering,3,31
Fernhill House Hotel & Gardens,http://www.fernhillhousehotel.com,+353(0)238833258,-8.907164133,51.62646882,Cork,Clonakilty,Republic of Ireland,Hotel,2,370
Sea Mount B&B,http://www.seamountfarm.com,+353(0)2761226,-9.624338,51.633241,Cork,Bantry,Republic of Ireland,B & B,3,4
Courtmacsherry Hotel,http://www.courtmacsherryhotel.ie,+353(0)238846198,-8.699673661,51.63330887,Cork,West Cork,Republic of Ireland,Hotel,2,227
Sextons Caravan and Camping Park,http://www.sextonscamping.com,+353(0)872208088,-8.804424,51.634252,Cork,West Cork,Republic of Ireland,Camping,2,170
Anchor Bay Cottages,http://www.irelandholidayhomes.com,+353(0)238846315,-8.71568,51.635105,Cork,Courtmacsherry,Republic of Ireland,Self Catering,4,34
Bere Island Lodge,http://www.bereislandlodge.com,+353(0)2775988,-9.818695945,51.63631668,Cork,Bere Island,Republic of Ireland,Self Catering,1,28
Strand View Cottages,http://www.strandviewholidayhomes.com,+353(0)879082331,-10.04725111,51.64399858,Cork,Allihies,Republic of Ireland,Self Catering,2,38
The Beara Coast Hotel,http://www.bearacoast.com/,+353(0)2771446,-9.909433001,51.6487195,Cork,Castletownbere,Republic of Ireland,Hotel,1,358
Berehaven Camper and Amenity Park,http://www.berehavengolf.com,+353(0)2770700,-9.860045,51.654244,Cork,Castletownbere,Republic of Ireland,Camping,4,94
Berehaven Lodge,http://www.berehavenlodge.com,+353(0)2771464,-9.83455,51.659148,Cork,Castletownbere,Republic of Ireland,Self Catering,2,31
Kilcatten Lodge,http://www.kilcattenlodge.com,+353(0)238864870,-8.750065,51.662123,Cork,Bandon,Republic of Ireland,Self Catering,2,28
Pondlodge Holiday Cottages,http://www.westlodgehotel.ie/Accommodation/Self%20Catering%20Cottages.aspx,+353(0)2750360,-9.474883,51.672468,Cork,Bantry,Republic of Ireland,Self Catering,5,26
Westlodge Hotel & Estate,http://www.westlodgehotel.ie,+353(0)2750360,-9.474826709,51.67253737,Cork,Bantry,Republic of Ireland,Hotel,5,385
Maritime Hotel,http://www.themaritime.ie,+353(0)2754700,-9.457125,51.680043,Cork,Bantry,Republic of Ireland,Hotel,4,132
Hungry Hill Lodge,http://www.hungryhilllodgeandcampsite.com,+353(0)2760228,-9.725717,51.693921,Cork,Adrigole,Republic of Ireland,Self Catering,1,25
Kinsale Hotel & Spa,https://www.kinsalehotelandspa.ie/,+353(0)214706000,-8.465532,51.698582,Cork,Kinsale,Republic of Ireland,Hotel,3,237
Trident Hotel,http://www.tridenthotel.com,+353(0)214779300,-8.51819673,51.7007217,Cork,Kinsale,Republic of Ireland,Hotel,5,42
Trident Hotel,http://tridenthotel.com,+353(0)214779300,-8.518622112,51.70084406,Cork,Kinsale,Republic of Ireland,Hotel,3,158
White Lady Hotel,http://www.whiteladyhotelkinsale.ie,+353(0)214772737,-8.519749898,51.70143657,Cork,Kinsale,Republic of Ireland,Hotel,4,241
Actons Hotel,http://www.actonshotelkinsale.com,+353(0)214779900,-8.520966977,51.70328425,Cork,Kinsale,Republic of Ireland,Hotel,1,141
Lake House Bed & Breakfast,,+353(0)238856932,-9.111708045,51.70584378,Cork,Dunmanway,Republic of Ireland,B & B,3,9
Blue Haven Hotel,http://www.bluehavenkinsale.com,+353(0)214772209,-8.522925,51.706425,Cork,Kinsale,Republic of Ireland,Hotel,5,317
Cloisters B&B,http://www.cloisterskinsale.com,+353(0)214700680,-8.525573,51.70692,Cork,Kinsale,Republic of Ireland,B & B,1,10
Friar's Lodge,http://www.friars-lodge.com,+353(0)214777384,-8.526748,51.707142,Cork,Kinsale,Republic of Ireland,Self Catering,3,21
Dempsey's Hostel,http://www.hostelkinsale.com,+353(0)214772124,-8.514567,51.708141,Cork,Kinsale,Republic of Ireland,Hostel,5,112
Parkway Hotel,http://www.parkwayhotel.ie,+353(0)238845236,-9.112698199,51.71808705,Cork,Dunmanway,Republic of Ireland,Hotel,3,152
Eagle Point Camping,http://www.eaglepointcamping.com,+353(0)2750630,-9.453848,51.719186,Cork,Ballylickey,Republic of Ireland,Camping,1,10
Seaview House Hotel,http://www.seaviewhousehotel.com,+353(0)2750073,-9.43646672,51.72220008,Cork,Bantry,Republic of Ireland,Hotel,4,107
Aran Lodge,http://www.aran-lodge.com,+353(0)2750378,-9.441754,51.723123,Cork,Bantry,Republic of Ireland,Self Catering,4,38
Droumkeal Cottage,http:// www.droumkealcottage.com,+353(0)2750558,-9.437133,51.736411,Cork,Bantry,Republic of Ireland,Self Catering,5,31
Munster Arms Hotel,http://www.munsterarmshotel.ie,+353(0)238841562,-8.733748497,51.74518113,Cork,Bandon,Republic of Ireland,Hotel,3,79
Glengarriff Caravan and Camping Park,,+353(0)2763154,-9.555153169,51.7481265,Cork,Glengarriff,Republic of Ireland,Camping,2,65
River’s Edge B&B,http://riversedgeglengarriff.com,+353(0)2763958,-9.552825817,51.74926188,Cork,Glengarriff,Republic of Ireland,B & B,2,14
Casey's Hotel,http://www.caseyshotelglengarriff.ie,+353(0)2763010,-9.551403594,51.74987319,Cork,Glengarriff,Republic of Ireland,Hotel,5,173
Glengarriff Park Hotel & Spa,http://www.glengarriffpark.com,+353(0)2763000,-9.549663,51.750359,Cork,Glengarriff,Republic of Ireland,Hotel,1,322
O'Sheas Caravan and Camping Park,,+353(0)2763140,-9.543672,51.750909,Cork,Glengarriff,Republic of Ireland,Camping,4,15
Eccles Hotel,http://www.eccleshotel.com,+353(0)2763003,-9.540818899,51.75191998,Cork,Glengarriff,Republic of Ireland,Hotel,1,98
Creveen Lodge Caravan and Camping Park,http://www.creveenlodge.com,+353(0)646683131,-9.760142,51.755089,Kerry,Lauragh,Republic of Ireland,Self Catering,5,39
Wave Crest Caravan and Camping Park,http://www.wavecrestcamping.com,+353(0)669475188,-10.091125,51.758832,Kerry,Caherdaniel,Republic of Ireland,Camping,3,151
Innishannon House Hotel,http://www.innishannonhotel.ie,+353(0)214775121,-8.648075548,51.75968822,Cork,Innishannon,Republic of Ireland,Hotel,4,187
Travellers' Rest Hostel,http://www.hostelcaherdaniel.com,+353(0)669475175,-10.09793617,51.76775764,Kerry,Caherdaniel,Republic of Ireland,Hostel,3,78
Parknasilla Hotel,http://www.parknasillaresort.com,+353(0)646675600,-9.874795,51.815675,Kerry,Sneem,Republic of Ireland,Hotel,4,255
Courtyard Lodges at Parknasilla,http://www.parknasillaresort.com,+353(0)646675600,-9.874795,51.815675,Kerry,Sneem,Republic of Ireland,Self Catering,3,28
Carrigaline Court Hotel and Leisure Centre,http://www.carrigcourt.com,,-8.39213,51.81612,Cork,Carrigaline,Republic of Ireland,Hotel,5,106
Carrigaline Court Hotel and Leisure Centre,http://www.carrigcourt.com,+353(0)214852100,-8.392128,51.816125,Cork,Carrigaline,Republic of Ireland,Hotel,1,315
Villa Maria Hotel,https://thevillawaterville.com/,+353(0)669474248,-10.17162855,51.82473149,Kerry,Waterville,Republic of Ireland,Hotel,3,176
Cliffords Ocean View B&B,http://www.cliffordbandb.com/,+353(0)669474283,-10.171636,51.824953,Kerry,Waterville,Republic of Ireland,B & B,5,10
The Sea Lodge,http://sealodgewaterville.ie/,+353(0)669478533,-10.17147075,51.82554453,Kerry,Waterville,Republic of Ireland,Self Catering,5,18
Bay View Hotel,http://www.thebayviewhotel.com,+353(0)214646746,-8.004682288,51.82789088,Cork,Ballycotton,Republic of Ireland,Hotel,2,328
Butler Arms Hotel,http://www.butlerarms.com,+353(0)669474144,-10.17266742,51.82793514,Kerry,Waterville,Republic of Ireland,Hotel,4,59
Winnies Cottage,,+353(0)862565044,-9.83953,51.828457,Kerry,Sneem,Republic of Ireland,Self Catering,5,30
Winnies Cottage,https://fivestar.ie/self-catering/winnies-cottage/,+353(0)862565044,-9.83953,51.828457,Kerry,Sneem,Republic of Ireland,Self Catering,4,26
Chestnut Lodge,http://www.chestnutlodge.ie,+353(0)214371382,-8.397366,51.832107,Cork,Carrigaline,Republic of Ireland,Self Catering,1,4
Sneem Hotel,http://www.sneemhotel.com,+353(0)646675100,-9.899262,51.833769,Kerry,Sneem,Republic of Ireland,Hotel,4,344
Sneem River Lodge,http://www.sneemriverlodge.ie/indexmain.html,+353(0)646645578,-9.906036,51.835713,Kerry,Sneem,Republic of Ireland,Self Catering,1,35
Waterville Holiday Cottages,http://www.tridentholidayhomes.ie/Self-Catering/Ireland/Kerry/Waterville/Waterville-Holiday-Homes-(2).aspx,+353(0)12018479,-10.173611,51.83774,Kerry,Waterville,Republic of Ireland,Self Catering,4,27
Gougane Barra Hotel,http://www.gouganebarrahotel.com/,+353(0)2647069,-9.317003443,51.83885451,Cork,Ballingeary,Republic of Ireland,Hotel,3,216
Currane Lodge,http://www.curranelodge.ie,+353(0)669474073,-10.142181,51.843299,Kerry,Waterville,Republic of Ireland,Self Catering,3,37
Oakfield B&B,https://oakfieldkenmare.com/,+353(0)646641262,-9.636533912,51.84734601,Kerry,Kenmare,Republic of Ireland,B & B,1,16
Cork Airport Hotel,http://www.corkairporthotel.com/,+353(0)214947500,-8.486374,51.848219,Cork,Cork,Republic of Ireland,Hotel,4,354
Cork Airport Hotel,http://www.corkairporthotel.com,,-8.48637,51.84822,Cork,Cork City,Republic of Ireland,Hotel,4,59
WatersEdge Hotel,http://www.watersedgehotel.ie,+353(0)214815566,-8.297908,51.849027,Cork,Cobh,Republic of Ireland,Hotel,1,70
Commodore Hotel,http://www.commodorehotel.ie,+353(0)214811277,-8.296331691,51.84974956,Cork,Cobh,Republic of Ireland,Hotel,1,40
Bella Vista Hotel,http://www.bellavistahotel.ie,+353(0)214812450,-8.297062,51.851385,Cork,Cobh,Republic of Ireland,Hotel,4,99
Cork International Hotel,http://www.corkinternationalairporthotel.com/,+353(0)214549800,-8.484975,51.851739,Cork,Cork City,Republic of Ireland,Hotel,5,300
Cork International Hotel,http://www.corkinternationalairporthotel.com,,-8.48498,51.85174,Cork,Cork City,Republic of Ireland,Hotel,3,136
Nyali Lodge,http://www.nyalilodge.com,+353(0)214812717,-8.302930822,51.85177798,Cork,Cobh,Republic of Ireland,Self Catering,3,17
Garryvoe Hotel,http://www.garryvoehotel.com,+353(0)214646718,-8.004380938,51.85921787,Cork,Castlemartyr,Republic of Ireland,Hotel,5,308
Watersedge B&B,http://watersedgekenmare.com,+353(0)646641707,-9.583920929,51.86909467,Kerry,Kenmare,Republic of Ireland,B & B,4,15
Muxnaw Lodge,http://muxnawlodge.eu,+353(0)646641252,-9.581869,51.869558,Kerry,Kenmare,Republic of Ireland,Self Catering,3,30
Sheen Falls Lodge,http://www.sheenfallslodge.ie,+353(0)646641600,-9.564134377,51.87332007,Kerry,Kenmare,Republic of Ireland,Self Catering,2,12
Maryborough Hotel & Spa,http://www.maryborough.com,,-8.42028,51.87379,Cork,Cork City,Republic of Ireland,Hotel,5,144
Maryborough Hotel & Spa,http://www.maryborough.com,+353(0)214365555,-8.420278,51.873794,Cork,Cork,Republic of Ireland,Hotel,2,68
Sheen Falls Lodge,http://www.sheenfallslodge.ie,,-9.56349,51.8743,Kerry,Kenmare,Republic of Ireland,Self Catering,5,20
Coastal Holiday Cottages,http://www.kenmarecoastalholidaycottages.com/,+353(0)578660775,-9.602665,51.875463,Kerry,Kenmare,Republic of Ireland,Self Catering,2,15
East Village Hotel,http://www.eastvillage.ie/Sleep.aspx,+353(0)214367000,-8.434259,51.877766,Cork,Cork City,Republic of Ireland,Hotel,4,232
Kenmare Failte Hostel,http://www.kenmarehostel.com,+353(0)877116092,-9.583367,51.877851,Kerry,Kenmare,Republic of Ireland,Hostel,1,109
Park Hotel Kenmare,http://www.parkkenmare.com,+353(0)646641200,-9.581165861,51.87831348,Kerry,Kenmare,Republic of Ireland,Hotel,4,264
Lansdowne Arms Hotel,http://www.lansdownearms.com/,+353(0)646641368,-9.581516843,51.87902123,Kerry,Kenmare,Republic of Ireland,Hotel,1,382
Rochestown Park Hotel,http://www.rochestownpark.com,,-8.42473,51.87942,Cork,Douglas,Republic of Ireland,Hotel,5,52
Rochestown Park Hotel,http://www.rochestownpark.com,+353(0)214890800,-8.424729374,51.87942073,Cork,Cork,Republic of Ireland,Hotel,1,182
Coachmans Hotel,http://www.thecoachmans.com,+353(0)646641311,-9.583693,51.879458,Kerry,Kenmare,Republic of Ireland,Hotel,4,139
Lodgewood Cottage,http://www.visit-kenmare.com,+353(0)646641248,-9.588066,51.880231,Kerry,Kenmare,Republic of Ireland,Self Catering,4,12
Arthur's Lodge Wood,http://www.arthurslodgewood.com,+353(0)646641753,-9.576765,51.88101,Kerry,Kenmare,Republic of Ireland,Self Catering,3,37
Kenmare Bay Cottages,http://www.kenmarebayhotel.com/kenmare-self-catering/,+353(0)646641300,-9.602393,51.88135,Kerry,Kenmare,Republic of Ireland,Self Catering,4,35
Shelburne Lodge,http://www.shelburnelodge.com,+353(0)646641013,-9.574873,51.882156,Kerry,Kenmare,Republic of Ireland,Self Catering,1,34
Ashfield B&B,http://www.ashfieldkenmare.com,+353(0)646642234,-9.569807,51.882638,Kerry,Kenmare,Republic of Ireland,B & B,5,17
Dan's Cottage,http://www.danscottage.com,+353(0)646641283,-9.595918878,51.88279351,Kerry,Kenmare,Republic of Ireland,Self Catering,2,10
Kenmare House B&B,http://www.kenmarehousebandb.com,+353(0)646641283,-9.596236383,51.88280604,Kerry,Kenmare,Republic of Ireland,B & B,5,18
Druid Cottage,http://www.druidcottagekenmare.com,+353(0)646641803,-9.598037,51.882813,Kerry,Kenmare,Republic of Ireland,Self Catering,2,37
Kenmare Bay Hotel & Resort,http://www.kenmarebayhotel.com,+353(0)646641300,-9.591345724,51.88302456,Kerry,Kenmare,Republic of Ireland,Hotel,5,122
Brooklane Hotel,http://www.brooklanehotel.com,+353(0)646642077,-9.591799,51.883586,Kerry,Kenmare,Republic of Ireland,Hotel,5,399
Dromatouk Cottage,,+353(0)646641608,-9.542951,51.886501,Kerry,Kenmare,Republic of Ireland,Self Catering,3,31
"Oriel House Hotel, Leisure Club & Spa",http://www.orielhousehotel.ie,,-8.6011,51.88811,Cork,Ballincollig,Republic of Ireland,Hotel,1,187
"Oriel House Hotel, Leisure Club",http://www.orielhousehotel.ie,+353(0)214208400,-8.601099184,51.88811082,Cork,Ballincollig,Republic of Ireland,Hotel,4,150
Portmagee Seaside Cottages,http://www.portmageeseasidecottages.com,+353(0)669477151,-10.33125162,51.88933349,Kerry,Portmagee,Republic of Ireland,Self Catering,1,25
Farren Lee Holiday Cottages,http://www.leevalleygcc.ie,+353(0)217331721,-8.700742,51.890291,Cork,Ovens,Republic of Ireland,Self Catering,1,20
Hayfield Manor Hotel,http://www.hayfieldmanor.ie,,-8.49016,51.89098,Cork,Cork City,Republic of Ireland,Hotel,4,312
Hayfield Manor Hotel,http://www.hayfieldmanor.ie,+353(0)214845900,-8.490156,51.890985,Cork,Cork,Republic of Ireland,Hotel,4,180
The River Lee Hotel,http://www.doylecollection.com/riverlee,,-8.48499,51.89585,Cork,Cork City,Republic of Ireland,Hotel,5,145
The River Lee Hotel,http://www.doylecollection.com/hotels/the-river-lee-hotel,+353(0)214252700,-8.484986,51.89585,Cork,Cork City,Republic of Ireland,Hotel,5,328
Rose Lodge Guesthouse,http://www.roselodge.ie/,+353(0)214272958,-8.488746,51.896243,Cork,Cork City,Republic of Ireland,Self Catering,2,7
Lancaster Lodge,http://www.lancasterlodge.com,+353(0)214251125,-8.482349,51.896605,Cork,Cork City,Republic of Ireland,Self Catering,2,17
Imperial Hotel with Escape Salon and Spa,https://www.imperialhotelcork.com/,+353(0)214274040,-8.470057936,51.89712393,Cork,Cork City,Republic of Ireland,Hotel,2,132
Fota Island Lodges,http://www.fotaisland.ie/Fota-Island-Lodges,+353(0)214883700,-8.295608,51.897605,Cork,Cork City,Republic of Ireland,Self Catering,2,10
Maldron Hotel South Mall Cork City,http://maldronhotelsouthmall.com/,+353(0)212037000,-8.467608642,51.89771585,Cork,Cork City,Republic of Ireland,Hotel,5,104
Clayton Hotel Cork City,https://www.claytonhotelcorkcity.com/,+353(0)214224900,-8.465064,51.898737,Cork,Cork,Republic of Ireland,Hotel,1,369
Fota Island Hotel and Spa,http://www.fotaisland.ie,+353(0)214883700,-8.291303,51.90019,Cork,Cork City,Republic of Ireland,Hotel,1,195
Fota Island Hotel and Spa,http://www.fotaisland.ie,+353 21 4883700,-8.292282581,51.9004233,Cork,Carrigtwohill,Republic of Ireland,Hotel,1,230
Lissyclearig Thatched Cottage,http://www.lissyclearigthatchedcottage.com,+353(0)646642562,-9.595596,51.900625,Kerry,Kenmare,Republic of Ireland,Self Catering,4,23
The Metropole Hotel,http://www.themetropolehotel.ie,+353(0)214643700,-8.467587974,51.90130927,Cork,Cork City,Republic of Ireland,Hotel,4,229
The Metropole Hotel,http://www.themetropolehotel.ie,,-8.46759,51.90131,Cork,Cork City,Republic of Ireland,Hotel,5,209
Brú Hostel,http://www.bruhostel.com,+353(0)214559667,-8.466058,51.901447,Cork,Cork City,Republic of Ireland,Hostel,4,183
Hotel Isaacs,https://www.hotelisaacscork.com/,+353(0)214500011,-8.468089,51.901594,Cork,Cork City,Republic of Ireland,Hotel,2,172
Isaacs Apartments,http://www.isaacscork.com,+353(0)214500011,-8.468089,51.901594,Cork,Cork City,Republic of Ireland,Self Catering,5,6
Ashley Hotel,http://www.ashleyhotel.com,+353(0)214501518,-8.470816,51.901954,Cork,Cork City,Republic of Ireland,Hotel,5,134
Oaklands B&B,http://corkaccommodation.ie/accommodation/oaklands/,+353(0)214500578,-8.456602,51.90229,Cork,Cork City,Republic of Ireland,B & B,2,13
Oscars Hostel,http://www.oscarshostel.com,+353(0)212418380,-8.454674993,51.90268816,Cork,Cork City,Republic of Ireland,Hostel,4,135
Maldron Hotel Shandon Cork City,http://www.maldronhotelcork.com,+353(0)214529200,-8.474613,51.902748,Cork,Cork City,Republic of Ireland,Hotel,4,278
Doire Farm Cottages,http://www.kenmareholidaycottages.com/,+353(0)646685312,-9.491088145,51.90355772,Kerry,Kenmare,Republic of Ireland,Self Catering,1,31
Clayton Hotel Silver Springs,https://www.claytonhotelsilversprings.com,,-8.42411,51.904,Cork,Cork City,Republic of Ireland,Hotel,1,337
Clayton Hotel Silver Springs,http://www.claytonhotelsilversprings.com,+353(0)214507533,-8.42411438,51.90400116,Cork,Cork,Republic of Ireland,Hotel,5,150
Montenotte Hotel,http://www.themontenottehotel.com,+353(0)214530050,-8.452177,51.904551,Cork,Cork,Republic of Ireland,Hotel,2,173
Montenotte Holiday Apartments,http://www.themontenottehotel.com,+353(0)214530050,-8.452177,51.904551,Cork,Montenotte,Republic of Ireland,Self Catering,2,37
Montenotte Hotel,http://themontenottehotel.com,,-8.452007908,51.90464358,Cork,Cork,Republic of Ireland,Hotel,2,251
Castle Hotel,http://www.castlehotel.ie,+353(0)2641074,-8.958433517,51.90486745,Cork,Macroom,Republic of Ireland,Hotel,2,347
Ambassador Hotel & Health Club,http://www.ambassadorhotelcork.ie,+353(0)214539000,-8.459401,51.905133,Cork,Cork City,Republic of Ireland,Hotel,4,336
Radisson Blu Hotel and Spa Cork,http://www.radissonblu.ie/hotel-cork,,-8.35816,51.90542,Cork,Cork City,Republic of Ireland,Hotel,3,343
Radisson Blu Hotel and Spa Cork,http://www.radissonblu.ie/hotel-cork,+353(0)214297000,-8.358155,51.905424,Cork,Cork,Republic of Ireland,Hotel,4,184
Cork's Vienna Woods Hotel,http://www.viennawoodshotel.com,+353(0)214556800,-8.361969,51.907902,Cork,Cork City,Republic of Ireland,Hotel,2,78
Castlemartyr Holiday Lodges & Mews,http://www.tridentholidayhomes.ie/Self-Catering/Ireland/Cork/Castlemartyr-Holiday-Homes.aspx,+353(0)12018479,-8.062864,51.911264,Cork,Castlemartyr,Republic of Ireland,Self Catering,1,12
Cork's Vienna Woods Holiday Cottages,http://www.viennawoodshotel.com/self-catering-cork.html,+353(0)214556800,-8.402982,51.911975,Cork,Glanmire,Republic of Ireland,Self Catering,3,27
Sea View Valentia Island Cottage,http://www.valentiaislandcottages.com,+353(0)669476224,-10.35439539,51.91253008,Kerry,Valentia Island,Republic of Ireland,Self Catering,1,9
Midleton Park Hotel and Spa,http://www.midletonpark.com,+353(0)214635100,-8.178949854,51.91480407,Cork,Midleton,Republic of Ireland,Hotel,3,338
Valentia Island Caravan & Camping,http://www.valentiaislandcamping.com,+353(0)879673673,-10.29245449,51.92390223,Kerry,Valentia Island,Republic of Ireland,Camping,2,47
Quality Hotel & Leisure Centre Youghal,http://www.qualityyoughal.com,+353(0)2493050,-7.872633,51.924996,Cork,Youghal,Republic of Ireland,Hotel,1,173
Watch House Cottage Number 4,,+353(0)669762388,-10.28754187,51.92579131,Kerry,Valentia Island,Republic of Ireland,Self Catering,1,14
Ferryview B&B,http://www.ferryview.com,+353(0)669472052,-10.268127,51.930456,Kerry,Cahersiveen,Republic of Ireland,B & B,2,14
Blarney Castle Hotel,http://www.blarneycastlehotel.com,+353(0)214385116,-8.567189848,51.9325031,Cork,Blarney,Republic of Ireland,Hotel,3,92
Blarney Woollen Mills Hotel,http://www.blarneywoollenmillshotel.com,+353(0)214385011,-8.565252589,51.93293105,Cork,Blarney,Republic of Ireland,Hotel,4,128
Abbey Hotel,http://www.abbeyhotelballyvourney.com,+353(0)2645324,-9.157983,51.939449,Cork,Macroom,Republic of Ireland,Hotel,4,286
The Ring of Kerry Hotel,http://www.ringofkerryhotel.ie,+353(0)669472543,-10.23713994,51.94029154,Kerry,Cahersiveen,Republic of Ireland,Hotel,2,131
Summerfield Lodge B&B,https://bandbireland.com/accommodation/28116/summerfield-lodge-b-b,+353(0)872854971,-7.865468461,51.94045299,Cork,Youghal,Republic of Ireland,Self Catering,3,22
Beechwood Lodge,https://bandbireland.com/accommodation/28011/beechwood-lodge-b-b,+353(0)872141692,-8.560426579,51.94155202,Cork,Blarney,Republic of Ireland,Self Catering,4,11
